Property Name,Year,1,2,3,4,5,Total
Adana @ Thomson,2019,0,0,0,1,0,1
Adana @ Thomson,2020,0,0,1,0,0,1
Adana @ Thomson,2021,0,2,3,0,0,5
Adana @ Thomson,All,0,2,4,1,0,7
Botanique at Bartley,2019,12,18,4,0,0,34
Botanique at Bartley,2020,10,20,5,0,0,35
Botanique at Bartley,2021,14,32,6,0,0,52
Botanique at Bartley,All,36,70,15,0,0,121
High Park Residences,2019,30,37,11,11,6,95
High Park Residences,2020,15,39,18,5,4,81
High Park Residences,2021,17,39,16,8,2,82
High Park Residences,All,62,115,45,24,12,258
Hilbre28,2019,0,0,0,0,0,0
Hilbre28,2020,0,0,0,0,0,0
Hilbre28,2021,0,0,0,0,0,0
Hilbre28,All,0,0,0,0,0,0
Kingsford Waterbay,2019,6,0,1,0,0,7
Kingsford Waterbay,2020,8,5,0,0,0,13
Kingsford Waterbay,2021,15,14,1,1,,31
Kingsford Waterbay,All,29,19,2,1,0,51
North Park Residences,2019,2,5,6,3,0,16
North Park Residences,2020,2,3,4,0,0,9
North Park Residences,2021,7,8,5,0,1,21
North Park Residences,All,11,16,15,3,1,46
Symphony Suites,2019,0,3,2,0,0,5
Symphony Suites,2020,0,3,0,0,0,3
Symphony Suites,2021,0,3,3,0,0,6
Symphony Suites,All,0,9,5,0,0,14
